"","id","CPA","price","fee","YD","FD","PM","p.show"
"1",1,1,22534,2,0,0,1,0
"2",2,1,22568,5,1,0,1,0
"3",3,0,24156,2,0,1,1,0
"4",4,1,21817,2.1,0,1,0,0
"5",5,1,21323,2,1,1,1,0.237910083814541
"6",6,0,29442,2.9,1,1,0,0
"7",7,1,22865,5,0,0,0,0
"8",8,1,21607,2.7,1,0,1,0
"9",9,0,22259,3,0,1,1,0
"10",10,1,22105,2,0,0,1,0
"11",11,1,21323,2,0,1,0,0
"12",12,0,22132,3,0,0,0,0
"13",13,1,27396,2,1,1,0,0
"14",14,1,21025,4,1,1,1,0.291552993186806
"15",15,0,21074,2,1,0,0,0
"16",16,1,22047,2,0,1,0,0
"17",17,0,23931,2.5,1,1,1,0
"18",18,1,21022,2.6,1,1,0,0.248447216802263
"19",19,1,21300,4,1,0,1,0.22208970619639
"20",20,1,22912,2.1,1,0,1,0
