"","shop_id","model_id","offer_id","binary_ware_md5","category_id","flags_available","local","flags_cpa","binary_price_price","fee","flags_yx_money","fast_delivery","flags_inpost_enable","flags_delivery","flags_any_delivery","flags_post_term","shop_rating","pricelevel","cond.main","days_to"
"102",234,14188370,"1337009","EyDcK9p9Q3yRgB1v_smAtw",91491,TRUE,TRUE,TRUE,14990,400,FALSE,NA,FALSE,FALSE,"False","False",5,6,TRUE,NA
"103",234,14206636,"1343008","VLRKdMInqTMpCq5GYANbhg",91491,TRUE,TRUE,TRUE,54200,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"104",234,14206636,"1343010","X5VOv5e1U6xLbhJIi4z1qw",91491,TRUE,TRUE,TRUE,54200,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"105",234,14206636,"1343011","G74ypOlevoRjr3cl6wurDA",91491,TRUE,TRUE,TRUE,54200,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"106",234,14206637,"1343006","-T6qqzFb2zBHn3k5bIT3rw",91491,TRUE,TRUE,TRUE,65500,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"107",234,14206682,"1343012","GhdB6e1SPgLMuAmHeUYdDg",91491,TRUE,TRUE,TRUE,63500,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"108",234,14206682,"1343013","0d6sfTJI9mqvZL1EZ7b3pQ",91491,TRUE,TRUE,TRUE,63500,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"109",234,14206682,"1343014","Jxd5Lhj-p5GiP32EsJQWng",91491,TRUE,TRUE,TRUE,63500,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"110",234,14206682,"1343015","QUh18RssbzWEKebpIBJFJg",91491,TRUE,TRUE,TRUE,63500,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"111",234,14206684,"1343017","w0_CiEg79POwFqara0qu0Q",91491,TRUE,TRUE,TRUE,72500,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"112",234,14206684,"1343018","aXAXGb9odrx8JisO8ktYkg",91491,TRUE,TRUE,TRUE,72500,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"113",234,14206684,"1343020","-Ck1XWpqtfWKlb_U4Raamw",91491,TRUE,TRUE,TRUE,72500,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"114",234,14206684,"1343021","h0M1E-u7wJpbACIzjHmtLQ",91491,TRUE,TRUE,TRUE,72500,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"115",234,14206711,"1342996","8I60UJLvVD7AteAtBee7kA",91491,TRUE,TRUE,TRUE,74200,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"116",234,14209841,"1343026","tOgdblI24L7JrmDjaSZpXg",91491,TRUE,TRUE,TRUE,44870,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"124",262,10725082,"49339","C_RRK3Dcim1MtEiQvlEnNA",91491,TRUE,TRUE,TRUE,6990,220,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"274",262,12889286,"1327457","UnDzxhuAZrJri-o1RB-Wcg",91491,TRUE,TRUE,TRUE,9990,220,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"275",262,12889286,"1328137","Np-6v-5aao2K7X1I2s1Wfw",91491,TRUE,TRUE,TRUE,9990,220,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"352",262,13517610,"1349865","pw68sZAmu6xnmMRD0he4mQ",91491,TRUE,TRUE,TRUE,20990,420,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"365",262,13530195,"1386871","CdJI_gGjncFzi79KN3DYaA",91491,TRUE,TRUE,TRUE,6490,220,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"411",262,13844625,"1389463","o4yGAtfUNLe6gO6p8J50Iw",91491,TRUE,TRUE,TRUE,20490,220,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"412",262,13844807,"1350524","6WnpSxkjI_4-nG-BRxjmjA",91491,TRUE,TRUE,TRUE,28990,220,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"413",262,13844807,"1350525","v1n_yvApTGKhS0K5V6WCVQ",91491,TRUE,TRUE,TRUE,28990,220,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"415",262,13849550,"1389465","mNBTuko7MFj7e9GX1MozHg",91491,TRUE,TRUE,TRUE,14490,220,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"416",262,13849550,"1389466","T7E6JSkkPiS8y0NcgD87QQ",91491,TRUE,TRUE,TRUE,14490,220,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"417",262,13849550,"1389467","7jYugSw4GXponcMJkbzOaA",91491,TRUE,TRUE,TRUE,14490,220,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"437",262,13953515,"1365109","Da0ePG5pT7gpAWeSmqBpNQ",91491,TRUE,TRUE,TRUE,8490,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"438",262,13953515,"1389464","2EdYg84qtskkA9uBAWuc1Q",91491,TRUE,TRUE,TRUE,11990,200,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"439",262,13975890,"1355980","9wfNcqiucoXbr8t-4fF4_w",91491,TRUE,TRUE,TRUE,11990,220,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"457",262,14180409,"1384506","HEwTf3VCg8kQOajII6WRlA",91491,TRUE,TRUE,TRUE,11490,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"458",262,14180409,"1384507","VqN46uc5VoHOsvF1EtW1ng",91491,TRUE,TRUE,TRUE,11490,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"459",262,14180409,"1384508","ZZxMHGqtk5zzTsR_xy40Uw",91491,TRUE,TRUE,TRUE,11490,240,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"460",262,14180410,"1382044","b5JUKKUcfU5ztn-5a4iI0g",91491,TRUE,TRUE,TRUE,12990,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"461",262,14180410,"1382765","c_8EpBFXQLSpJJty6V8b7w",91491,TRUE,TRUE,TRUE,12990,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"462",262,14180410,"1394027","4zZ1NBPcq81xnLF2aaGAPg",91491,TRUE,TRUE,TRUE,18990,220,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"463",262,14195355,"1349859","0abGt1GP0jN6dTC1FoyBfQ",91491,TRUE,TRUE,TRUE,12990,220,FALSE,NA,FALSE,FALSE,"False","False",5,5,TRUE,NA
"464",262,14195355,"1364376","gxfdfWioFue7A3eO-f_BzA",91491,TRUE,TRUE,TRUE,12990,220,FALSE,NA,FALSE,FALSE,"False","False",5,5,TRUE,NA
"465",262,14198189,"1389887","dzJ65jj93PuxgTDGj5LZGw",91491,TRUE,TRUE,TRUE,17990,220,FALSE,NA,FALSE,FALSE,"False","False",5,3,TRUE,NA
"466",262,14206636,"1380564","1FofHYOFcGgeNqpBh0DRUA",91491,TRUE,TRUE,TRUE,50990,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"467",262,14206636,"1380571","DvD4mrFPI-Fv1i6yAMxj4w",91491,TRUE,TRUE,TRUE,50990,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"468",262,14206636,"1380574","Yk3PHJt7CobQayKcrTBEIA",91491,TRUE,TRUE,TRUE,50990,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
"469",262,14206636,"1380577","_avnTeSH12wulMyMgCrtvg",91491,TRUE,TRUE,TRUE,50990,400,FALSE,NA,FALSE,FALSE,"False","False",5,9,TRUE,NA
